YEAR,GST_YoY_Lag1,IIP_Growth_Lag1,ECI_Growth_Lag1,Repo_Lag1,USDINR_Change_Lag1,Crude_Change,Gold_Change,FPI_Lag1,SENSEX return,CLOSE_SENSEX
2/1/2019,0.141141108,1.6,1.5,6.5,0.017767588,0.005618557,0.002230624,-361.72,-0.01073595,"35,867.44"
3/1/2019,0.131278937,0.2,2.2,6.25,0.002393355,0.005604251,-0.025878004,1174.65,0.078217737,"38,672.91"
4/1/2019,0.156346632,2.7,5.8,6.25,-0.028511236,0.005556028,-0.00464702,8622.96,0.009273675,"39,031.55"
5/1/2019,0.100580906,3.2,5.2,6,0.00968628,0.005525329,0.008442594,1111.03,0.017489697,"39,714.20"
7/1/2019,0.045277691,1.3,1.2,5.75,-0.01274889,0.00548165,0.012277102,1895.73,-0.048573105,"37,481.12"
8/1/2019,0.058030948,4.9,2.6,5.75,-0.000870575,0.005435144,0.067107057,457.04,-0.003957459,"37,332.79"
9/1/2019,0.045146871,-1.4,-0.2,5.4,0.042114435,0.005405763,-0.02551505,-363.14,0.035747127,"38,667.33"
10/1/2019,-0.026746575,-4.6,-5.1,5.4,-0.014910814,0.005376698,0.012637806,2382.54,0.037802455,"40,129.05"
11/1/2019,-0.052934167,-6.6,-5.5,5.15,0.001697553,0.005364298,-0.033224907,2580.08,0.016565555,"40,793.81"
12/1/2019,0.059956779,2.1,0.7,5.15,0.012992515,0.005319409,0.045765098,5860.45,0.011274505,"41,253.74"
1/1/2020,0.089289108,0.4,3.1,5.15,-0.006412937,-0.607605178,0.039330269,-611.42,-0.01285338,"40,723.49"
2/1/2020,0.081119577,2.2,2.2,5.15,0.003367476,0.005608247,-0.011876935,2038.58,-0.059577409,"38,297.29"
3/1/2020,0.083457587,5.2,6.4,5.15,0.00950916,0.005617978,0.012339364,-1148.26,-0.230533283,"29,468.49"
4/1/2020,-0.08432401,-18.7,-8.6,5.15,0.044327469,0.005545814,0.066527725,-14635.16,0.144192322,"33,717.62"
5/1/2020,-0.717454881,-57.3,-37.9,4.4,-0.003581377,0.005515228,0.025403555,-1971.91,-0.038363325,"32,424.10"
6/1/2020,-0.380280988,-33.4,-21.4,4.4,0.006922258,0.005525308,0.029018734,-560.88,0.07684716,"34,915.80"
7/1/2020,-0.090275068,-16.6,-12.4,4,-0.001454257,0.005454837,0.107812491,3174.45,0.077073703,"37,606.89"
8/1/2020,-0.143610039,-10.5,-7.6,4,-0.010062227,0.005465135,-0.003860182,472.46,0.027159917,"38,628.29"
9/1/2020,-0.119671697,-7.1,-6.9,4,-0.015647987,0.005395755,-0.039870218,5347.24,-0.014506467,"38,067.93"
10/1/2020,0.038774533,1,0.6,4,0.002717391,0.005366797,-0.004931196,1177.95,0.04061529,"39,614.07"
11/1/2020,0.102496357,4.5,-0.5,4,0.002303523,0.005377399,-0.053910479,1736.89,0.114495935,"44,149.72"
12/1/2020,0.014213796,-1.6,-1.1,4,-0.002298229,0.005309596,0.065416144,10929.15,0.081577188,"47,751.33"
1/1/2021,0.116200186,2.2,0.4,4,-0.010162602,1.448543689,-0.023214305,8551.18,-0.030691501,"46,285.77"
2/1/2021,0.081701529,-0.6,1.3,4,-0.001368925,0.005630452,-0.065361951,6218.48,0.060800976,"49,099.99"
3/1/2021,0.073849454,-3.2,-3.3,4,0.001233722,0.005583156,-0.007843591,1853.4,0.008333199,"49,509.15"
4/1/2021,0.269607542,24.2,12.6,4,0.006297919,0.005567841,0.030584641,-791.6,-0.014679913,"48,782.36"
6/1/2021,0.652571962,27.6,16.4,4,-0.020264793,0.005506608,-0.069899304,966.46,0.010498592,"52,482.71"
7/1/2021,0.021250151,13.8,9.4,4,0.025234418,0.005461025,0.024000903,1251.7,0.001984082,"52,586.84"
8/1/2021,0.331381117,11.5,9.9,4,0.000537996,0.005446707,0.000926069,-1617.79,0.094425716,"57,552.39"
9/1/2021,0.295777906,13,12.2,4,-0.016668907,0.005401941,-0.032569666,2906.37,0.027348473,"59,126.36"
10/1/2021,0.22549225,4.4,5.4,4,0.015174299,0.005388095,0.0155067,2588.85,0.003053968,"59,306.93"
11/1/2021,0.237478009,4.2,8.7,4,0.007137086,0.005344122,-0.004473345,-1953.39,-0.037804351,"57,064.87"
12/1/2021,0.253082068,1,3.2,4,0.004011231,0.005330731,0.029663498,-152.47,0.02083506,"58,253.82"
1/1/2022,0.126816816,1,4.1,4,-0.010520708,0.231516057,-0.017762222,-3735.72,-0.004113893,"58,014.17"
2/1/2022,0.17613788,2,4,4,0.009017497,0.005627653,0.058225508,-4433.91,-0.03045618,"56,247.28"
3/1/2022,0.175714134,1.2,5.9,4,0.006936108,0.005584099,0.027537223,-5788.36,0.041268307,"58,568.51"
4/1/2022,0.146843044,2.2,4.8,4,0.004238972,0.005565084,-0.021167001,-4992.89,-0.025741478,"57,060.87"
