Month,Expected_Sensex,Lower_Band,Upper_Band
1,78221.96564914413,72199.10032379229,84244.83097449598
2,79037.42469818328,72951.77138240007,85123.07801396651
3,79861.38485627975,73712.28898923247,86010.48072332703
4,80693.93474695826,74480.73494405895,86907.13454985758
5,81535.16391763817,75257.1918994063,87813.13593587006
6,82385.16284926508,76041.74336944877,88728.5823290814
